1.833755 0.840188 2.477981
1.528315 0.783099 5.016747
2.426419 0.911647 1.241252
0.408303 0.335223 4.826929
0.325418 0.277775 3.480696
0.648933 0.477397 3.951313
0.453791 0.364784 3.225793
3.041352 0.952230 5.756623
1.009810 0.635712 4.506910
0.152688 0.141603 3.813698
0.016435 0.016301 1.526103
0.147609 0.137232 5.052792
0.170408 0.156679 2.519208
0.139021 0.129790 0.683666
6.834986 0.998925 1.371349
0.719352 0.512932 5.272298
0.948400 0.612640 1.860022
1.014875 0.637552 3.294194
0.680395 0.493583 6.112126
0.346041 0.292517 4.846583
0.748121 0.526745 4.837511
0.511207 0.400229 5.601645
0.333119 0.283315 2.214561
1.648826 0.807725 5.774414
0.072308 0.069755 5.964798
0.746538 0.525995 0.540705
0.213458 0.192214 4.167178
2.209392 0.890233 2.192159
0.066323 0.064171 0.125809
0.611939 0.457702 0.396443
0.272176 0.238280 6.098674
2.324913 0.902208 5.346487
0.310154 0.266666 3.391414
0.470335 0.375207 4.776784
0.718538 0.512535 4.195432
0.758446 0.531606 0.246806
0.575609 0.437638 5.854892
2.670896 0.930810 4.529877
0.334485 0.284293 4.640348
1.021592 0.639979 2.224553
1.164308 0.687861 1.042846
0.580005 0.440105 5.529676
1.767268 0.829201 2.075569
0.260026 0.228968 5.613224
0.431337 0.350360 4.314474
3.134265 0.956468 3.698535
1.070912 0.657304 5.395222
0.579033 0.439560 5.805473
0.508223 0.398437 5.119331
1.152705 0.684219 5.723806
0.658728 0.482491 1.356068
3.000793 0.950252 5.781336
0.159770 0.147660 5.535877
1.024657 0.641081 2.714043
0.966523 0.619596 1.765948
1.541789 0.786002 1.931815
0.592458 0.447034 1.420670
0.207680 0.187533 1.735634
0.812931 0.556444 2.616955
0.185856 0.169607 5.697617
0.108890 0.103171 0.792155
0.684077 0.495444 4.778207
4.183285 0.984752 5.874803
1.153422 0.684445 2.407643
1.385378 0.749771 2.316381
0.348367 0.294160 1.459342
0.878245 0.584489 1.535691
0.165334 0.152390 4.600225
0.134074 0.125475 4.985521
0.179249 0.164102 4.681422
0.077453 0.074530 5.969680
0.053959 0.052529 3.277079
0.193840 0.176211 1.508356
1.598488 0.797798 4.603403
1.068753 0.656564 6.078386
1.020148 0.639458 4.773555
0.098143 0.093480 0.847617
0.734407 0.520210 0.491547
0.072470 0.069906 1.285886
0.618820 0.461420 5.150184
0.851718 0.573319 4.747454
0.053336 0.051939 0.991531
11.954632 0.999994 1.283835
2.206872 0.889956 0.788342
6.118843 0.997799 0.339654
2.044382 0.870540 0.454455
0.004170 0.004162 5.799814
0.901137 0.593892 1.133312
0.178088 0.163131 2.461062
2.442154 0.913027 5.150297
0.444875 0.359095 3.471366
0.866144 0.579430 2.843618
1.162791 0.687387 0.626057
0.756743 0.530808 4.758217
0.362830 0.304295 6.234355
0.860315 0.576971 5.514210
1.377570 0.747809 3.951558
0.036063 0.035421 4.698584
1.791191 0.833239 5.814312
2.065707 0.873271 5.221563
3.884122 0.979434 4.673504
2.336828 0.903366 6.180114
1.099253 0.666880 3.124367
0.179088 0.163968 5.215118
2.197763 0.888949 0.483772
1.048985 0.649707 1.558507
0.992847 0.629480 1.439710
1.206041 0.700620 1.990935
0.398654 0.328777 1.454105
0.077055 0.074161 3.977710
0.253160 0.223656 4.091184
0.714751 0.510686 6.103899
0.328562 0.280042 3.431291
1.270357 0.719269 0.711763
0.637681 0.471483 3.723038
2.888100 0.944318 2.833199
0.410002 0.336351 5.326158
0.570068 0.434513 0.020304
0.423033 0.344943 3.760369
1.791219 0.833243 1.469585
1.125396 0.675476 3.034466
0.657656 0.481936 1.916093
1.245098 0.712087 1.147032
0.972392 0.621823 0.256758
0.534408 0.413984 4.372995
1.120663 0.673936 4.006411
